"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
0,000000000E0	6,028127186E1	2,495574998E1	1,359838867E1	3,281633958E1	-1,000000000E0	-1,000000000E0	2,973770725E-3	6,500000000E1	6,500000000E1	0,000000000E0
7,488203049E-2	6,028125236E1	2,495571306E1	1,359838867E1	3,281638645E1	-1,000000000E0	-1,000000000E0	8,357981150E-3	9,054334790E1	9,054334790E1	0,000000000E0
4,173460007E-1	6,028122132E1	2,495578803E1	1,290065956E1	3,211848737E1	-1,000000000E0	-1,000000000E0	1,108272108E-2	6,500000000E1	6,500000000E1	0,000000000E0
1,175618052E0	6,028124173E1	2,495576066E1	1,245806789E1	3,167596736E1	-1,000000000E0	-1,000000000E0	2,193033068E-2	6,500000000E1	6,500000000E1	0,000000000E0
2,623240232E0	6,028124784E1	2,495556426E1	3,678773796E0	2,289703893E1	3,750653565E-1	-1,000000000E0	2,504454020E-2	2,400000000E1	2,400000000E1	0,000000000E0
3,623229861E0	6,028122115E1	2,495554719E1	4,996080254E-1	1,971787611E1	4,194916189E-1	-1,000000000E0	3,068447151E-2	2,400000000E1	2,400000000E1	0,000000000E0
4,623219252E0	6,028118256E1	2,495561359E1	1,007455879E0	2,022556167E1	4,194916189E-1	-1,000000000E0	3,464430918E-2	1,600000000E1	1,600000000E1	0,000000000E0
5,623208761E0	6,028115018E1	2,495564349E1	1,560389115E0	2,077840594E1	8,279833794E-1	-1,000000000E0	3,934794758E-2	1,600000000E1	1,600000000E1	0,000000000E0
6,623198748E0	6,028111255E1	2,495568249E1	6,391792098E-1	1,985708489E1	1,254998088E0	-1,000000000E0	4,133396225E-2	1,600000000E1	1,600000000E1	0,000000000E0
7,623188138E0	6,028109526E1	2,495569151E1	1,399831443E0	2,061770231E1	1,448746324E0	-1,000000000E0	4,571424456E-2	2,400000000E1	2,400000000E1	0,000000000E0
8,623237014E0	6,028105588E1	2,495568998E1	1,545177851E0	2,076300983E1	1,602912903E0	-1,000000000E0	4,997094526E-2	2,400000000E1	2,400000000E1	0,000000000E0
9,623227715E0	6,028106387E1	2,495576550E1	5,994419864E0	2,521212220E1	1,556479335E-1	-1,000000000E0	5,086099944E-2	1,600241655E1	1,600241655E1	0,000000000E0
1,062323487E1	6,028106283E1	2,495574949E1	5,104706267E0	2,432243677E1	2,294700444E-1	1,476585129E2	5,155151375E-2	1,200181241E1	1,200181241E1	0,000000000E0
1,138122773E1	6,028106363E1	2,495576191E1	5,110634656E0	2,432834329E1	2,294700444E-1	1,444393354E2	5,351918750E-2	8,001208274E0	8,001208274E0	0,000000000E0
1,238123310E1	6,028104764E1	2,495577720E1	2,299785076E0	2,151744882E1	1,410334229E0	1,509467708E2	5,497278437E-2	8,001208274E0	8,001208274E0	0,000000000E0
1,338122225E1	6,028103813E1	2,495579530E1	1,901070019E0	2,111869059E1	1,498715162E0	1,475595025E2	5,663180846E-2	8,001208274E0	8,001208274E0	0,000000000E0
1,438122964E1	6,028102322E1	2,495579614E1	1,236658437E0	2,045426169E1	1,498715162E0	1,441963446E2	5,812957372E-2	6,000906205E0	6,000906205E0	0,000000000E0
1,538121915E1	6,028101031E1	2,495580394E1	1,645755554E0	2,086333089E1	1,522020221E0	1,469086537E2	6,010543964E-2	6,000906205E0	6,000906205E0	0,000000000E0
1,638122630E1	6,028099258E1	2,495580620E1	7,130590047E-1	1,993061142E1	1,640754223E0	1,613962226E2	6,171604599E-2	6,000906205E0	6,000906205E0	0,000000000E0
1,738121617E1	6,028097855E1	2,495581346E1	6,222265556E-1	1,983975085E1	1,919170618E0	1,669816645E2	6,421815301E-2	6,000906205E0	6,000906205E0	0,000000000E0
1,838122308E1	6,028095848E1	2,495583400E1	-3,396695966E-1	1,887779589E1	1,919170618E0	1,650950023E2	6,597919613E-2	6,000906205E0	6,000906205E0	0,000000000E0
1,938121343E1	6,028094345E1	2,495584403E1	-2,580221785E0	1,663720944E1	1,883541584E0	1,611888171E2	6,806558264E-2	6,000906205E0	6,000906205E0	0,000000000E0
